GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC02_VC18,2016 Estimate; SEX AND AGE - 60 to 64 years
HC03_VC18,2017 - 2016 Statistical Significance; SEX AND AGE - 60 to 64 years
HC04_VC18,2015 Estimate; SEX AND AGE - 60 to 64 years
HC05_VC18,2017 - 2015 Statistical Significance; SEX AND AGE - 60 to 64 years
HC06_VC18,2014 Estimate; SEX AND AGE - 60 to 64 years
HC07_VC18,2017 - 2014 Statistical Significance; SEX AND AGE - 60 to 64 years
HC08_VC18,2013 Estimate; SEX AND AGE - 60 to 64 years
HC09_VC18,2017 - 2013 Statistical Significance; SEX AND AGE - 60 to 64 years
HC01_VC19,2017 Estimate; SEX AND AGE - 65 to 74 years
HC02_VC19,2016 Estimate; SEX AND AGE - 65 to 74 years
HC03_VC19,2017 - 2016 Statistical Significance; SEX AND AGE - 65 to 74 years
HC04_VC19,2015 Estimate; SEX AND AGE - 65 to 74 years
HC05_VC19,2017 - 2015 Statistical Significance; SEX AND AGE - 65 to 74 years
HC06_VC19,2014 Estimate; SEX AND AGE - 65 to 74 years
HC07_VC19,2017 - 2014 Statistical Significance; SEX AND AGE - 65 to 74 years
HC08_VC19,2013 Estimate; SEX AND AGE - 65 to 74 years
HC09_VC19,2017 - 2013 Statistical Significance; SEX AND AGE - 65 to 74 years
HC01_VC20,2017 Estimate; SEX AND AGE - 75 to 84 years
HC02_VC20,2016 Estimate; SEX AND AGE - 75 to 84 years
HC03_VC20,2017 - 2016 Statistical Significance; SEX AND AGE - 75 to 84 years
HC04_VC20,2015 Estimate; SEX AND AGE - 75 to 84 years
HC05_VC20,2017 - 2015 Statistical Significance; SEX AND AGE - 75 to 84 years
HC06_VC20,2014 Estimate; SEX AND AGE - 75 to 84 years
HC07_VC20,2017 - 2014 Statistical Significance; SEX AND AGE - 75 to 84 years
HC08_VC20,2013 Estimate; SEX AND AGE - 75 to 84 years
HC09_VC20,2017 - 2013 Statistical Significance; SEX AND AGE - 75 to 84 years
HC01_VC21,2017 Estimate; SEX AND AGE - 85 years and over
HC02_VC21,2016 Estimate; SEX AND AGE - 85 years and over
HC03_VC21,2017 - 2016 Statistical Significance; SEX AND AGE - 85 years and over
HC04_VC21,2015 Estimate; SEX AND AGE - 85 years and over
HC05_VC21,2017 - 2015 Statistical Significance; SEX AND AGE - 85 years and over
HC06_VC21,2014 Estimate; SEX AND AGE - 85 years and over
HC07_VC21,2017 - 2014 Statistical Significance; SEX AND AGE - 85 years and over
HC08_VC21,2013 Estimate; SEX AND AGE - 85 years and over
HC09_VC21,2017 - 2013 Statistical Significance; SEX AND AGE - 85 years and over
HC01_VC24,2017 Estimate; SEX AND AGE - Median age (years)
HC02_VC24,2016 Estimate; SEX AND AGE - Median age (years)
HC03_VC24,2017 - 2016 Statistical Significance; SEX AND AGE - Median age (years)
HC04_VC24,2015 Estimate; SEX AND AGE - Median age (years)
HC05_VC24,2017 - 2015 Statistical Significance; SEX AND AGE - Median age (years)
HC06_VC24,2014 Estimate; SEX AND AGE - Median age (years)
HC07_VC24,2017 - 2014 Statistical Significance; SEX AND AGE - Median age (years)
HC08_VC24,2013 Estimate; SEX AND AGE - Median age (years)
HC09_VC24,2017 - 2013 Statistical Significance; SEX AND AGE - Median age (years)
HC01_VC27,2017 Estimate; SEX AND AGE - Under 18 years
HC02_VC27,2016 Estimate; SEX AND AGE - Under 18 years
HC03_VC27,2017 - 2016 Statistical Significance; SEX AND AGE - Under 18 years
HC04_VC27,2015 Estimate; SEX AND AGE - Under 18 years
HC05_VC27,2017 - 2015 Statistical Significance; SEX AND AGE - Under 18 years
HC06_VC27,2014 Estimate; SEX AND AGE - Under 18 years
HC07_VC27,2017 - 2014 Statistical Significance; SEX AND AGE - Under 18 years
HC08_VC27,2013 Estimate; SEX AND AGE - Under 18 years
HC09_VC27,2017 - 2013 Statistical Significance; SEX AND AGE - Under 18 years
HC01_VC28,2017 Estimate; SEX AND AGE - 16 years and over
HC02_VC28,2016 Estimate; SEX AND AGE - 16 years and over
HC03_VC28,2017 - 2016 Statistical Significance; SEX AND AGE - 16 years and over
HC04_VC28,2015 Estimate; SEX AND AGE - 16 years and over
HC05_VC28,2017 - 2015 Statistical Significance; SEX AND AGE - 16 years and over
HC06_VC28,2014 Estimate; SEX AND AGE - 16 years and over
HC07_VC28,2017 - 2014 Statistical Significance; SEX AND AGE - 16 years and over
HC08_VC28,2013 Estimate; SEX AND AGE - 16 years and over
HC09_VC28,2017 - 2013 Statistical Significance; SEX AND AGE - 16 years and over
HC01_VC29,2017 Estimate; SEX AND AGE - 18 years and over
HC02_VC29,2016 Estimate; SEX AND AGE - 18 years and over
HC03_VC29,2017 - 2016 Statistical Significance; SEX AND AGE - 18 years and over
HC04_VC29,2015 Estimate; SEX AND AGE - 18 years and over
HC05_VC29,2017 - 2015 Statistical Significance; SEX AND AGE - 18 years and over
HC06_VC29,2014 Estimate; SEX AND AGE - 18 years and over
HC07_VC29,2017 - 2014 Statistical Significance; SEX AND AGE - 18 years and over
HC08_VC29,2013 Estimate; SEX AND AGE - 18 years and over
HC09_VC29,2017 - 2013 Statistical Significance; SEX AND AGE - 18 years and over
HC01_VC30,2017 Estimate; SEX AND AGE - 21 years and over
HC02_VC30,2016 Estimate; SEX AND AGE - 21 years and over
HC03_VC30,2017 - 2016 Statistical Significance; SEX AND AGE - 21 years and over
HC04_VC30,2015 Estimate; SEX AND AGE - 21 years and over
HC05_VC30,2017 - 2015 Statistical Significance; SEX AND AGE - 21 years and over
HC06_VC30,2014 Estimate; SEX AND AGE - 21 years and over
HC07_VC30,2017 - 2014 Statistical Significance; SEX AND AGE - 21 years and over
HC08_VC30,2013 Estimate; SEX AND AGE - 21 years and over
HC09_VC30,2017 - 2013 Statistical Significance; SEX AND AGE - 21 years and over
HC01_VC31,2017 Estimate; SEX AND AGE - 62 years and over
HC02_VC31,2016 Estimate; SEX AND AGE - 62 years and over
HC03_VC31,2017 - 2016 Statistical Significance; SEX AND AGE - 62 years and over
HC04_VC31,2015 Estimate; SEX AND AGE - 62 years and over
HC05_VC31,2017 - 2015 Statistical Significance; SEX AND AGE - 62 years and over
HC06_VC31,2014 Estimate; SEX AND AGE - 62 years and over
HC07_VC31,2017 - 2014 Statistical Significance; SEX AND AGE - 62 years and over
HC08_VC31,2013 Estimate; SEX AND AGE - 62 years and over
HC09_VC31,2017 - 2013 Statistical Significance; SEX AND AGE - 62 years and over
HC01_VC32,2017 Estimate; SEX AND AGE - 65 years and over
HC02_VC32,2016 Estimate; SEX AND AGE - 65 years and over
HC03_VC32,2017 - 2016 Statistical Significance; SEX AND AGE - 65 years and over
HC04_VC32,2015 Estimate; SEX AND AGE - 65 years and over
HC05_VC32,2017 - 2015 Statistical Significance; SEX AND AGE - 65 years and over
HC06_VC32,2014 Estimate; SEX AND AGE - 65 years and over
HC07_VC32,2017 - 2014 Statistical Significance; SEX AND AGE - 65 years and over
HC08_VC32,2013 Estimate; SEX AND AGE - 65 years and over
HC09_VC32,2017 - 2013 Statistical Significance; SEX AND AGE - 65 years and over
HC01_VC35,2017 Estimate; SEX AND AGE - 18 years and over
HC02_VC35,2016 Estimate; SEX AND AGE - 18 years and over
HC03_VC35,2017 - 2016 Statistical Significance; SEX AND AGE - 18 years and over
HC04_VC35,2015 Estimate; SEX AND AGE - 18 years and over
HC05_VC35,2017 - 2015 Statistical Significance; SEX AND AGE - 18 years and over
HC06_VC35,2014 Estimate; SEX AND AGE - 18 years and over
HC07_VC35,2017 - 2014 Statistical Significance; SEX AND AGE - 18 years and over
HC08_VC35,2013 Estimate; SEX AND AGE - 18 years and over
HC09_VC35,2017 - 2013 Statistical Significance; SEX AND AGE - 18 years and over
HC01_VC36,2017 Estimate; SEX AND AGE - 18 years and over - Male
HC02_VC36,2016 Estimate; SEX AND AGE - 18 years and over - Male
HC03_VC36,2017 - 2016 Statistical Significance; SEX AND AGE - 18 years and over - Male
HC04_VC36,2015 Estimate; SEX AND AGE - 18 years and over - Male
HC05_VC36,2017 - 2015 Statistical Significance; SEX AND AGE - 18 years and over - Male
HC06_VC36,2014 Estimate; SEX AND AGE - 18 years and over - Male
HC07_VC36,2017 - 2014 Statistical Significance; SEX AND AGE - 18 years and over - Male
HC08_VC36,2013 Estimate; SEX AND AGE - 18 years and over - Male
HC09_VC36,2017 - 2013 Statistical Significance; SEX AND AGE - 18 years and over - Male
HC01_VC37,2017 Estimate; SEX AND AGE - 18 years and over - Female
HC02_VC37,2016 Estimate; SEX AND AGE - 18 years and over - Female
HC03_VC37,2017 - 2016 Statistical Significance; SEX AND AGE - 18 years and over - Female
HC04_VC37,2015 Estimate; SEX AND AGE - 18 years and over - Female
HC05_VC37,2017 - 2015 Statistical Significance; SEX AND AGE - 18 years and over - Female
HC06_VC37,2014 Estimate; SEX AND AGE - 18 years and over - Female
HC07_VC37,2017 - 2014 Statistical Significance; SEX AND AGE - 18 years and over - Female
HC08_VC37,2013 Estimate; SEX AND AGE - 18 years and over - Female
HC09_VC37,2017 - 2013 Statistical Significance; SEX AND AGE - 18 years and over - Female
HC01_VC38,2017 Estimate; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females)
HC02_VC38,2016 Estimate; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females)
HC03_VC38,2017 - 2016 Statistical Significance; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females)
HC04_VC38,2015 Estimate; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females)
HC05_VC38,2017 - 2015 Statistical Significance; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females)
HC06_VC38,2014 Estimate; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females)
HC07_VC38,2017 - 2014 Statistical Significance; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females)
HC08_VC38,2013 Estimate; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females)
HC09_VC38,2017 - 2013 Statistical Significance; SEX AND AGE - 18 years and over - Sex ratio (males per 100 females)
HC01_VC41,2017 Estimate; SEX AND AGE - 65 years and over
HC02_VC41,2016 Estimate; SEX AND AGE - 65 years and over
HC03_VC41,2017 - 2016 Statistical Significance; SEX AND AGE - 65 years and over
HC04_VC41,2015 Estimate; SEX AND AGE - 65 years and over
HC05_VC41,2017 - 2015 Statistical Significance; SEX AND AGE - 65 years and over
HC06_VC41,2014 Estimate; SEX AND AGE - 65 years and over
HC07_VC41,2017 - 2014 Statistical Significance; SEX AND AGE - 65 years and over
HC08_VC41,2013 Estimate; SEX AND AGE - 65 years and over
HC09_VC41,2017 - 2013 Statistical Significance; SEX AND AGE - 65 years and over
HC01_VC42,2017 Estimate; SEX AND AGE - 65 years and over - Male
HC02_VC42,2016 Estimate; SEX AND AGE - 65 years and over - Male
HC03_VC42,2017 - 2016 Statistical Significance; SEX AND AGE - 65 years and over - Male
HC04_VC42,2015 Estimate; SEX AND AGE - 65 years and over - Male
HC05_VC42,2017 - 2015 Statistical Significance; SEX AND AGE - 65 years and over - Male
HC06_VC42,2014 Estimate; SEX AND AGE - 65 years and over - Male
HC07_VC42,2017 - 2014 Statistical Significance; SEX AND AGE - 65 years and over - Male
HC08_VC42,2013 Estimate; SEX AND AGE - 65 years and over - Male
HC09_VC42,2017 - 2013 Statistical Significance; SEX AND AGE - 65 years and over - Male
HC01_VC43,2017 Estimate; SEX AND AGE - 65 years and over - Female
HC02_VC43,2016 Estimate; SEX AND AGE - 65 years and over - Female
HC03_VC43,2017 - 2016 Statistical Significance; SEX AND AGE - 65 years and over - Female
HC04_VC43,2015 Estimate; SEX AND AGE - 65 years and over - Female
HC05_VC43,2017 - 2015 Statistical Significance; SEX AND AGE - 65 years and over - Female
HC06_VC43,2014 Estimate; SEX AND AGE - 65 years and over - Female
HC07_VC43,2017 - 2014 Statistical Significance; SEX AND AGE - 65 years and over - Female
HC08_VC43,2013 Estimate; SEX AND AGE - 65 years and over - Female
HC09_VC43,2017 - 2013 Statistical Significance; SEX AND AGE - 65 years and over - Female
HC01_VC44,2017 Estimate; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females)
HC02_VC44,2016 Estimate; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females)
HC03_VC44,2017 - 2016 Statistical Significance; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females)
HC04_VC44,2015 Estimate; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females)
HC05_VC44,2017 - 2015 Statistical Significance; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females)
HC06_VC44,2014 Estimate; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females)
HC07_VC44,2017 - 2014 Statistical Significance; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females)
HC08_VC44,2013 Estimate; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females)
HC09_VC44,2017 - 2013 Statistical Significance; SEX AND AGE - 65 years and over - Sex ratio (males per 100 females)
HC01_VC48,2017 Estimate; RACE - Total population
HC02_VC48,2016 Estimate; RACE - Total population
HC03_VC48,2017 - 2016 Statistical Significance; RACE - Total population
HC04_VC48,2015 Estimate; RACE - Total population
HC05_VC48,2017 - 2015 Statistical Significance; RACE - Total population
HC06_VC48,2014 Estimate; RACE - Total population
HC07_VC48,2017 - 2014 Statistical Significance; RACE - Total population
HC08_VC48,2013 Estimate; RACE - Total population
HC09_VC48,2017 - 2013 Statistical Significance; RACE - Total population
HC01_VC49,2017 Estimate; RACE - Total population - One race
HC02_VC49,2016 Estimate; RACE - Total population - One race
HC03_VC49,2017 - 2016 Statistical Significance; RACE - Total population - One race
HC04_VC49,2015 Estimate; RACE - Total population - One race
HC05_VC49,2017 - 2015 Statistical Significance; RACE - Total population - One race
HC06_VC49,2014 Estimate; RACE - Total population - One race
HC07_VC49,2017 - 2014 Statistical Significance; RACE - Total population - One race
HC08_VC49,2013 Estimate; RACE - Total population - One race
HC09_VC49,2017 - 2013 Statistical Significance; RACE - Total population - One race
HC01_VC50,2017 Estimate; RACE - Total population - Two or more races
HC02_VC50,2016 Estimate; RACE - Total population - Two or more races
HC03_VC50,2017 - 2016 Statistical Significance; RACE - Total population - Two or more races
HC04_VC50,2015 Estimate; RACE - Total population - Two or more races
HC05_VC50,2017 - 2015 Statistical Significance; RACE - Total population - Two or more races
HC06_VC50,2014 Estimate; RACE - Total population - Two or more races
HC07_VC50,2017 - 2014 Statistical Significance; RACE - Total population - Two or more races
HC08_VC50,2013 Estimate; RACE - Total population - Two or more races
HC09_VC50,2017 - 2013 Statistical Significance; RACE - Total population - Two or more races
HC01_VC53,2017 Estimate; RACE - One race
HC02_VC53,2016 Estimate; RACE - One race
HC03_VC53,2017 - 2016 Statistical Significance; RACE - One race
HC04_VC53,2015 Estimate; RACE - One race
HC05_VC53,2017 - 2015 Statistical Significance; RACE - One race
HC06_VC53,2014 Estimate; RACE - One race
HC07_VC53,2017 - 2014 Statistical Significance; RACE - One race
HC08_VC53,2013 Estimate; RACE - One race
HC09_VC53,2017 - 2013 Statistical Significance; RACE - One race
HC01_VC54,2017 Estimate; RACE - One race - White
HC02_VC54,2016 Estimate; RACE - One race - White
HC03_VC54,2017 - 2016 Statistical Significance; RACE - One race - White
HC04_VC54,2015 Estimate; RACE - One race - White
HC05_VC54,2017 - 2015 Statistical Significance; RACE - One race - White
HC06_VC54,2014 Estimate; RACE - One race - White
HC07_VC54,2017 - 2014 Statistical Significance; RACE - One race - White
HC08_VC54,2013 Estimate; RACE - One race - White
HC09_VC54,2017 - 2013 Statistical Significance; RACE - One race - White
HC01_VC55,2017 Estimate; RACE - One race - Black or African American
HC02_VC55,2016 Estimate; RACE - One race - Black or African American
HC03_VC55,2017 - 2016 Statistical Significance; RACE - One race - Black or African American
HC04_VC55,2015 Estimate; RACE - One race - Black or African American
HC05_VC55,2017 - 2015 Statistical Significance; RACE - One race - Black or African American
HC06_VC55,2014 Estimate; RACE - One race - Black or African American
HC07_VC55,2017 - 2014 Statistical Significance; RACE - One race - Black or African American
HC08_VC55,2013 Estimate; RACE - One race - Black or African American
HC09_VC55,2017 - 2013 Statistical Significance; RACE - One race - Black or African American
HC01_VC56,2017 Estimate; RACE - One race - American Indian and Alaska Native
HC02_VC56,2016 Estimate; RACE - One race - American Indian and Alaska Native
HC03_VC56,2017 - 2016 Statistical Significance; RACE - One race - American Indian and Alaska Native
HC04_VC56,2015 Estimate; RACE - One race - American Indian and Alaska Native
HC05_VC56,2017 - 2015 Statistical Significance; RACE - One race - American Indian and Alaska Native
HC06_VC56,2014 Estimate; RACE - One race - American Indian and Alaska Native
HC07_VC56,2017 - 2014 Statistical Significance; RACE - One race - American Indian and Alaska Native
HC08_VC56,2013 Estimate; RACE - One race - American Indian and Alaska Native
HC09_VC56,2017 - 2013 Statistical Significance; RACE - One race - American Indian and Alaska Native
HC01_VC57,2017 Estimate; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC02_VC57,2016 Estimate; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC03_VC57,2017 - 2016 Statistical Significance; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC04_VC57,2015 Estimate; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC05_VC57,2017 - 2015 Statistical Significance; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC06_VC57,2014 Estimate; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC07_VC57,2017 - 2014 Statistical Significance; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC08_VC57,2013 Estimate; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC09_VC57,2017 - 2013 Statistical Significance; RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping
HC01_VC58,2017 Estimate; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC02_VC58,2016 Estimate; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC03_VC58,2017 - 2016 Statistical Significance; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC04_VC58,2015 Estimate; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC05_VC58,2017 - 2015 Statistical Significance; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC06_VC58,2014 Estimate; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC07_VC58,2017 - 2014 Statistical Significance; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC08_VC58,2013 Estimate; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC09_VC58,2017 - 2013 Statistical Significance; RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping
HC01_VC59,2017 Estimate; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
HC02_VC59,2016 Estimate; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
HC03_VC59,2017 - 2016 Statistical Significance; RACE - One race - American Indian and Alaska Native - Navajo tribal grouping
